action_date,count_total_carts,count_total_checkout_attempts,count_successful_checkout_attempts
2022-07-01,12,5,1
2022-07-02,7,3,0
2022-07-03,12,4,2
2022-07-04,8,5,3
2022-07-05,11,2,1
2022-07-06,14,7,2
2022-07-07,6,1,1
2022-07-08,20,5,1
2022-07-09,3,4,2
2022-07-10,6,3,1
2022-07-11,14,6,2
2022-07-12,12,7,3
2022-07-13,13,4,2
2022-07-14,11,3,0
2022-07-15,11,4,2
2022-07-16,13,6,2
2022-07-17,3,1,0
2022-07-18,24,7,3
2022-07-19,19,9,4
2022-07-20,18,7,2
2022-07-21,13,9,6
2022-07-22,20,6,5
2022-07-23,10,7,3
2022-07-24,13,3,2
2022-07-25,21,15,6
2022-07-26,39,26,9
2022-07-27,30,14,7
2022-07-28,26,10,2
2022-07-29,22,11,3
2022-07-30,7,2,2
2022-07-31,8,6,1
2022-08-01,12,7,0
2022-08-02,12,2,1
2022-08-03,9,3,1
2022-08-04,11,6,3
2022-08-05,12,8,3
2022-08-06,6,3,1
2022-08-07,10,5,4
2022-08-08,13,5,2
2022-08-09,13,4,2
2022-08-10,13,7,2
2022-08-11,13,3,2
2022-08-12,15,3,2
2022-08-13,10,3,3
2022-08-14,5,2,0
2022-08-15,15,4,1
2022-08-16,8,0,0
2022-08-17,6,2,2
2022-08-18,28,10,3
2022-08-19,15,5,2
2022-08-20,14,4,3
2022-08-21,10,5,2
2022-08-22,17,4,2
2022-08-23,12,4,1
2022-08-24,7,2,1
2022-08-25,9,4,3
2022-08-26,6,3,1
2022-08-27,10,1,0
2022-08-28,8,5,0
2022-08-29,6,4,2
2022-08-30,8,2,1
2022-08-31,13,8,1
2022-09-01,5,3,2
2022-09-02,7,3,1
2022-09-03,9,2,0
2022-09-04,7,0,0
2022-09-05,4,0,0
2022-09-06,13,6,3
2022-09-07,12,8,1
2022-09-08,11,6,2
2022-09-09,11,2,1
2022-09-10,11,5,1
2022-09-11,7,2,1
2022-09-12,10,5,1
2022-09-13,4,1,0
2022-09-14,7,1,0
2022-09-15,9,3,1
2022-09-16,4,3,1
2022-09-17,8,2,0
2022-09-18,8,2,1
2022-09-19,20,6,2
2022-09-20,27,13,4
2022-09-21,15,7,3
2022-09-22,24,6,3
2022-09-23,18,8,3
2022-09-24,17,5,1
2022-09-25,12,6,2
2022-09-26,6,7,2
2022-09-27,12,5,1
2022-09-28,31,13,3
2022-09-29,37,15,4
2022-09-30,18,11,5
2022-10-01,4,1,0
2022-10-02,6,3,1
2022-10-03,9,6,2
2022-10-04,10,6,2
2022-10-05,7,2,0
2022-10-06,10,4,1
2022-10-07,6,1,0
2022-10-08,4,0,0
2022-10-09,10,1,0
2022-10-10,9,2,1
2022-10-11,9,3,1
2022-10-12,12,6,5
2022-10-13,13,6,2
2022-10-14,3,2,1
2022-10-15,4,1,0
2022-10-16,9,0,0
2022-10-17,12,2,1
2022-10-18,9,7,3
2022-10-19,6,4,3
2022-10-20,13,3,2
2022-10-21,7,3,1
2022-10-22,6,2,1
2022-10-23,5,0,0
2022-10-24,8,4,1
2022-10-25,15,3,0
2022-10-26,15,4,1
2022-10-27,9,6,2
2022-10-28,8,4,4
2022-10-29,9,5,2
2022-10-30,13,4,0
2022-10-31,17,3,1
2022-11-01,17,2,0
2022-11-02,21,6,0
2022-11-03,37,5,1
2022-11-04,23,8,1
2022-11-05,27,6,0
2022-11-06,35,8,0
2022-11-07,40,14,1
2022-11-08,24,8,2
2022-11-09,28,8,0
2022-11-10,25,8,1
2022-11-11,30,5,0
2022-11-12,25,9,0
2022-11-13,21,3,0
2022-11-14,23,4,1
2022-11-15,34,11,1
2022-11-16,14,4,0
2022-11-17,19,12,1
2022-11-18,31,10,1
2022-11-19,41,11,2
2022-11-20,51,11,2
2022-11-21,253,130,32
2022-11-22,252,128,42
2022-11-23,147,81,27
2022-11-24,130,76,26
2022-11-25,156,87,41
2022-11-26,133,89,41
2022-11-27,179,140,53
2022-11-28,267,212,78
2022-11-29,57,35,11
2022-11-30,80,53,17
2022-12-01,98,66,28
2022-12-02,79,49,22
2022-12-03,15,4,0
2022-12-04,18,4,1
2022-12-05,19,10,2
2022-12-06,19,9,3
2022-12-07,16,8,3
2022-12-08,15,7,2
2022-12-09,17,7,3
2022-12-10,17,7,3
2022-12-11,8,2,0
2022-12-12,15,5,2
2022-12-13,14,4,1
2022-12-14,14,5,3
2022-12-15,19,10,3
2022-12-16,20,8,4
2022-12-17,10,7,1
2022-12-18,6,5,2
2022-12-19,17,7,3
2022-12-20,11,7,3
2022-12-21,19,7,0
2022-12-22,13,9,2
2022-12-23,17,7,4
2022-12-24,13,4,1
2022-12-25,13,3,2
2022-12-26,16,6,3
2022-12-27,10,5,2
2022-12-28,7,4,0
2022-12-29,13,6,3
2022-12-30,18,8,4
2022-12-31,9,4,0
2023-01-01,12,1,0
2023-01-02,21,11,2
2023-01-03,20,10,3
2023-01-04,23,13,2
2023-01-05,11,8,1
2023-01-06,21,7,3
2023-01-07,15,7,1
2023-01-08,26,12,3
2023-01-09,14,7,4
2023-01-10,29,18,9
2023-01-11,12,4,3
2023-01-12,18,10,3
2023-01-13,16,6,3
2023-01-14,9,4,1
2023-01-15,6,4,1
2023-01-16,17,7,2
2023-01-17,36,13,5
2023-01-18,40,31,9
2023-01-19,63,34,15
2023-01-20,24,12,5
2023-01-21,29,17,6
2023-01-22,21,9,2
2023-01-23,25,17,6
2023-01-24,32,19,4
2023-01-25,34,9,3
2023-01-26,20,10,4
2023-01-27,20,11,4
2023-01-28,27,12,3
2023-01-29,22,9,3
2023-01-30,35,16,8
2023-01-31,35,12,3
